小区名称,类型,区域(行政区),商圈板块,城市,数据来源
保利天琴宇商业别墅,商业,嘉定,嘉定新城,上海,fang.com
光明D9商住楼,商业,嘉定,嘉定新城,上海,fang.com
合景理想家商住楼,商业,嘉定,嘉定新城,上海,fang.com
汇豪新天地商住楼,商业,嘉定,嘉定新城,上海,fang.com
海伦广场商住楼,商业,嘉定,嘉定新城,上海,fang.com
花圃小镇(上海包装城),商业,嘉定,嘉定新城,上海,fang.com
弘德丽苑,商业,嘉定,嘉定新城,上海,fang.com
嘉域生活广场商住楼,商业,嘉定,嘉定新城,上海,fang.com
嘉隆骏,商业,嘉定,嘉定新城,上海,fang.com
绿地卡米公社商住楼,商业,嘉定,嘉定新城,上海,fang.com
领创国际大厦商住楼,商业,嘉定,嘉定新城,上海,fang.com
明发嘉定中心商住楼,商业,嘉定,嘉定新城,上海,fang.com
明发商业广场商住楼,商业,嘉定,嘉定新城,上海,fang.com
盘古天地商住楼,商业,嘉定,嘉定新城,上海,fang.com
上影广场商住楼,商业,嘉定,嘉定新城,上海,fang.com
尚品商住楼,商业,嘉定,嘉定新城,上海,fang.com
新城金郡M11金座,商业,嘉定,嘉定新城,上海,fang.com
新城金郡SOHO,商业,嘉定,嘉定新城,上海,fang.com
旭辉华庭商住楼,商业,嘉定,嘉定新城,上海,fang.com
新城明发商业广场商住楼,商业,嘉定,嘉定新城,上海,fang.com
新城金郡商住楼,商业,嘉定,嘉定新城,上海,fang.com
禧福汇商住楼,商业,嘉定,嘉定新城,上海,fang.com
阳光葡提公馆,商业,嘉定,嘉定新城,上海,fang.com
左岸香堤商住楼,商业,嘉定,嘉定新城,上海,fang.com
上海国际机电五金城,商业,嘉定,安亭,上海,fang.com
世昶生活广场商住楼,商业,嘉定,安亭,上海,fang.com
泊寓城市青年家,商业,嘉定,安亭,上海,fang.com
北虹桥松日29广场商住楼,商业,嘉定,安亭,上海,fang.com
底特律财富天地公寓商住楼,商业,嘉定,安亭,上海,fang.com
底特律财富天地商住楼,商业,嘉定,安亭,上海,fang.com
汇尊国际,商业,嘉定,安亭,上海,fang.com
嘉鑫国际,商业,嘉定,安亭,上海,fang.com
瑞立万立城,商业,嘉定,安亭,上海,fang.com
尚都国际,商业,嘉定,安亭,上海,fang.com
唐韵大厦商住楼,商业,嘉定,安亭,上海,fang.com
嘉隆国际,商业,嘉定,徐行,上海,fang.com
佳兆业城市广场商住楼,商业,嘉定,徐行,上海,fang.com
中茂世纪财富广场商住楼,商业,嘉定,徐行,上海,fang.com
慧创新视界商住楼,商业,嘉定,江桥,上海,fang.com
江桥万达,商业,嘉定,江桥,上海,fang.com
曹安路2266号小区,商业,嘉定,江桥,上海,fang.com
靖远路1518号小区,商业,嘉定,江桥,上海,fang.com
绿地新江桥城商住楼,商业,嘉定,江桥,上海,fang.com
临夏路796号小区,商业,嘉定,江桥,上海,fang.com
Max未来商住楼,商业,嘉定,江桥,上海,fang.com
雯婕商务楼商住楼,商业,嘉定,江桥,上海,fang.com
万达财富中心商住楼,商业,嘉定,江桥,上海,fang.com
吴杨东路413号小区,商业,嘉定,江桥,上海,fang.com
宝园四路475号,商业,嘉定,江桥,上海,fang.com
C9连锁公寓,商业,嘉定,江桥,上海,fang.com
V领地曹安公路店,商业,嘉定,江桥,上海,fang.com
保利·爱情故事商住楼,商业,嘉定,菊园新区,上海,fang.com
鼎固商业中心商住楼,商业,嘉定,菊园新区,上海,fang.com
魔方社区,商业,嘉定,菊园新区,上海,fang.com
新城悠活城商住楼,商业,嘉定,菊园新区,上海,fang.com
东方慧谷商住楼,商业,嘉定,马陆,上海,fang.com
方舟时代广场商住楼,商业,嘉定,马陆,上海,fang.com
绿地翡翠国际广场商住楼,商业,奉贤,南桥,上海,fang.com
锦绣公寓商住楼,商业,奉贤,南桥,上海,fang.com
悦达南郊华都商住楼,商业,奉贤,奉贤其他,上海,fang.com
恒龙金尊广场,商业,奉贤,奉贤其他,上海,fang.com
金水领寓,商业,奉贤,奉贤其他,上海,fang.com
汤臣臻园商住楼,商业,奉贤,奉贤其他,上海,fang.com
望园晶典,商业,奉贤,奉贤其他,上海,fang.com
望园豪庭商住楼,商业,奉贤,奉贤其他,上海,fang.com
卓越世纪中心公寓商住楼,商业,奉贤,奉贤其他,上海,fang.com
临港悦天地,商业,奉贤,海湾,上海,fang.com
临港公园里商住楼,商业,奉贤,海湾,上海,fang.com
世茂爱马尚郡公寓商住楼,商业,奉贤,海湾,上海,fang.com
环城东路323号小区,商业,奉贤,西渡,上海,fang.com
合并小区04,商业,奉贤,金汇镇,上海,fang.com
东方华璟园商住楼,商业,奉贤,青村,上海,fang.com
绿地领海商住楼,商业,宝山,上大,上海,fang.com
金地艺境酒店公寓,商业,宝山,上大,上海,fang.com
共富二村商住楼,商业,宝山,共富,上海,fang.com
竞成商务楼,商业,宝山,共康,上海,fang.com
卓越时代广场公寓,商业,宝山,共康,上海,fang.com
大智公寓,商业,宝山,共康,上海,fang.com
栋霖科技园,商业,宝山,共康,上海,fang.com
宇业生活广场,商业,宝山,共康,上海,fang.com
上坤极客公寓,商业,宝山,共康通河,上海,fang.com
龙湖北城天街(50弄),商业,宝山,刘行,上海,fang.com
沪太路1598号大楼,商业,宝山,大华,上海,fang.com
大华虎城第三空间,商业,宝山,大华,上海,fang.com
大华爱宅,商业,宝山,大华,上海,fang.com
皇室堡酒店公寓,商业,宝山,大华,上海,fang.com
蓝玉米公寓,商业,宝山,大场镇,上海,fang.com
中环一号商住楼,商业,宝山,大场镇,上海,fang.com
通田商住楼,商业,宝山,张庙,上海,fang.com
月浦八村商住楼,商业,宝山,月浦,上海,fang.com
绿地海域笙晖,商业,宝山,杨行,上海,fang.com
安达曼广场,商业,宝山,杨行,上海,fang.com
宝地绿洲城商住楼,商业,宝山,杨行,上海,fang.com
宝安公路95号小区,商业,宝山,杨行,上海,fang.com
东智商务广场商住楼,商业,宝山,杨行,上海,fang.com
复地领馆商住楼,商业,宝山,杨行,上海,fang.com
晶钢商务馆,商业,宝山,杨行,上海,fang.com
中铁北城时代商住楼,商业,宝山,杨行,上海,fang.com
上海三湘海尚,商业,宝山,淞南,上海,fang.com
逸兴家园,商业,宝山,淞南,上海,fang.com
和欣假日公寓,商业,宝山,淞南,上海,fang.com
逸隆休闲广场,商业,宝山,淞南,上海,fang.com
中环SOHO未来商住楼,商业,宝山,淞南,上海,fang.com
青年居公寓,商业,宝山,淞南,上海,fang.com
上海新起点公寓,商业,宝山,淞南,上海,fang.com
祥腾生活广场,商业,宝山,淞南,上海,fang.com
宝宸怡秀园商住楼,商业,宝山,淞宝,上海,fang.com
白玉兰花园商住楼,商业,宝山,淞宝,上海,fang.com
瑞华宝都写字楼,写字楼,宝山,淞宝,上海,fang.com
星月国际商务广场商住楼,商业,宝山,淞宝,上海,fang.com
淞滨路500号,商业,宝山,淞宝,上海,fang.com
上置美兰优湖,商业,宝山,罗店,上海,fang.com
美兰湖U天地,商业,宝山,罗店,上海,fang.com
大华兰湖天境商住楼,商业,宝山,罗店,上海,fang.com
MAX科技园商住楼,商业,宝山,罗店,上海,fang.com
魔族国际青年社区,商业,宝山,罗店,上海,fang.com
上置名人天地,商业,宝山,罗店,上海,fang.com
远洋7号SOHO公寓,商业,宝山,罗店,上海,fang.com
远洋7号商住楼,商业,宝山,罗店,上海,fang.com
好家园商住楼,商业,宝山,通河,上海,fang.com
绿地风尚天地商住楼,商业,宝山,通河,上海,fang.com
友家公寓,商业,宝山,通河,上海,fang.com
绿地北郊广场商住楼,商业,宝山,顾村,上海,fang.com
绿地公元1860·摩登公馆,商业,宝山,顾村,上海,fang.com
龙湖北城天街商住楼,商业,宝山,顾村,上海,fang.com
顾村爱建园商住楼,商业,宝山,顾村,上海,fang.com
顾太路180号小区,商业,宝山,顾村,上海,fang.com
绿地正大缤纷城,商业,宝山,顾村,上海,fang.com
绿地公园广场商住楼,商业,宝山,顾村,上海,fang.com
绿地海樾商住楼,商业,宝山,顾村,上海,fang.com
上坤乐城,商业,宝山,顾村,上海,fang.com
上坤公园天地商住楼,商业,宝山,顾村,上海,fang.com
微时光商厦,商业,宝山,顾村,上海,fang.com
招商时代乐章商住楼,商业,宝山,顾村,上海,fang.com
景瑞遇道,商业,宝山,高境,上海,fang.com
尚景天地,商业,宝山,高境,上海,fang.com
绿地瀛洲商务城,商业,崇明,南门,上海,fang.com
瀛通金鳌山公寓商住楼,商业,崇明,南门,上海,fang.com
凤凰花苑(崇明)商住楼,商业,崇明,长兴岛,上海,fang.com
长岛天地,商业,崇明,长兴岛,上海,fang.com
北海大厦公寓,商业,徐汇,万体馆,上海,fang.com
爱中爱华大厦,商业,徐汇,万体馆,上海,fang.com
凌云壹街坊,商业,徐汇,华东理工,上海,fang.com
河滨国际公寓,商业,徐汇,康健,上海,fang.com
光大会展中心,商业,徐汇,康健,上海,fang.com
康健大楼,商业,徐汇,康健,上海,fang.com
钦州路109弄1号,商业,徐汇,康健,上海,fang.com
圣骊家园商住楼,商业,徐汇,康健,上海,fang.com
裕华大厦,商业,徐汇,建国西路,上海,fang.com
巴黎时韵商住楼,商业,徐汇,建国西路,上海,fang.com
鼎新大楼商住楼,商业,徐汇,建国西路,上海,fang.com
华泰大厦公寓,商业,徐汇,建国西路,上海,fang.com
金环大厦商住楼,商业,徐汇,建国西路,上海,fang.com
尚街loft商住楼,商业,徐汇,建国西路,上海,fang.com
阳光四季公寓,商业,徐汇,建国西路,上海,fang.com
魔方公寓徐家汇公园店,商业,徐汇,建国西路,上海,fang.com
实业公寓,商业,徐汇,徐家汇,上海,fang.com
嘉汇广场,商业,徐汇,徐家汇,上海,fang.com
枫林大楼,商业,徐汇,徐家汇,上海,fang.com
汇金广场,商业,徐汇,徐家汇,上海,fang.com
通汇公寓,商业,徐汇,徐家汇,上海,fang.com
嘉汇国际广场商住楼,商业,徐汇,徐家汇,上海,fang.com
尚光徐汇中心商住楼,商业,徐汇,徐家汇,上海,fang.com
新亚徐汇公寓,商业,徐汇,徐家汇,上海,fang.com
北科大厦商住楼,商业,徐汇,徐家汇,上海,fang.com
汇金广场公寓,商业,徐汇,徐家汇,上海,fang.com
爱建大厦公寓商住楼,商业,徐汇,徐家汇,上海,fang.com
宏汇大厦写字楼,写字楼,徐汇,徐家汇,上海,fang.com
衡山坊,商业,徐汇,徐家汇,上海,fang.com
汇翠花园写字楼,写字楼,徐汇,徐家汇,上海,fang.com
嘉汇广场写字楼,写字楼,徐汇,徐家汇,上海,fang.com
实业公寓写字楼,写字楼,徐汇,徐家汇,上海,fang.com
上影广场(徐汇)商住楼,商业,徐汇,徐家汇,上海,fang.com
徐家汇中心商住楼,商业,徐汇,徐家汇,上海,fang.com
景泰大厦,商业,徐汇,斜土路,上海,fang.com
金巢铂瑞阁商住楼,商业,徐汇,斜土路,上海,fang.com
泰莱大厦,商业,徐汇,斜土路,上海,fang.com
申晖大厦,商业,徐汇,斜土路,上海,fang.com
银亿徐汇酩悦,商业,徐汇,斜土路,上海,fang.com
银亿徐汇酩悦写字楼,写字楼,徐汇,斜土路,上海,fang.com
城家公寓(大木桥店),商业,徐汇,斜土路,上海,fang.com
诚达创意园商住楼,商业,徐汇,漕河泾,上海,fang.com
苍梧路5号小区,商业,徐汇,漕河泾,上海,fang.com
虹漕大楼,商业,徐汇,漕河泾,上海,fang.com
新安大楼,商业,徐汇,漕河泾,上海,fang.com
环线广场商住楼,商业,徐汇,田林,上海,fang.com
百第宜山大楼,商业,徐汇,田林,上海,fang.com
凯托大厦写字楼,写字楼,徐汇,田林,上海,fang.com
立信大厦公寓商住楼,商业,徐汇,田林,上海,fang.com
汉庭公寓,商业,徐汇,田林,上海,fang.com
东亚公寓,商业,徐汇,衡山路,上海,fang.com
高安公寓,商业,徐汇,衡山路,上海,fang.com
湖南路305号商住楼,商业,徐汇,衡山路,上海,fang.com
联业大厦,商业,徐汇,衡山路,上海,fang.com
欧江大厦,商业,徐汇,衡山路,上海,fang.com
瑞华公寓,商业,徐汇,衡山路,上海,fang.com
信联公寓商住楼,商业,徐汇,衡山路,上海,fang.com
永嘉路750号大厦,商业,徐汇,衡山路,上海,fang.com
众联别墅,商业,徐汇,衡山路,上海,fang.com
兴屯公寓,商业,徐汇,长桥,上海,fang.com
华富大厦商住楼,商业,徐汇,龙华,上海,fang.com
中煌大厦商住楼,商业,徐汇,龙华,上海,fang.com
海珀旭晖国际服务公寓,商业,徐汇,龙华,上海,fang.com
铭源大楼写字楼,写字楼,徐汇,龙华,上海,fang.com
望族城写字楼,写字楼,徐汇,龙华,上海,fang.com
迪凡公寓,商业,徐汇,龙华,上海,fang.com
富杉建材商业街,商业,普陀,万里,上海,fang.com
万里城商住楼,商业,普陀,万里,上海,fang.com
嘉富利大厦,商业,普陀,光新,上海,fang.com
上海新体育广场商住楼,商业,普陀,光新,上海,fang.com
城公大厦商住楼,商业,普陀,光新,上海,fang.com
融创香溢天地商住楼,商业,普陀,光新,上海,fang.com
石泉大厦商住楼,商业,普陀,光新,上海,fang.com
宁珊公寓,商业,普陀,光新,上海,fang.com
悠诗阁酒店公寓,商业,普陀,宜川,上海,fang.com
万业新阶酒店式公寓,商业,普陀,宜川,上海,fang.com
安天大厦商住楼,商业,普陀,曹杨,上海,fang.com
嘉安大厦,商业,普陀,曹杨,上海,fang.com
五星公寓商住楼,商业,普陀,曹杨,上海,fang.com
中山北路3345号,商业,普陀,曹杨,上海,fang.com
同进理想城,商业,普陀,桃浦,上海,fang.com
李子园大厦商住楼,商业,普陀,桃浦,上海,fang.com
康健商务广场商住楼,商业,普陀,桃浦,上海,fang.com
上海国际包装印刷城商住楼,商业,普陀,桃浦,上海,fang.com
爱享公寓,商业,普陀,桃浦,上海,fang.com
绿地同创大厦商住楼,商业,普陀,武宁,上海,fang.com
金阳大厦商住楼,商业,普陀,武宁,上海,fang.com
万业新阶商住楼,商业,普陀,武宁,上海,fang.com
大华清水湾花园商业楼,商业,普陀,武宁,上海,fang.com
凯旋北路1495号,商业,普陀,武宁,上海,fang.com
康泰公寓商住楼,商业,普陀,武宁,上海,fang.com
绿地世纪城,商业,普陀,武宁,上海,fang.com
隆德大楼,商业,普陀,武宁,上海,fang.com
绿洲广场商住楼,商业,普陀,武宁,上海,fang.com
深建大厦,商业,普陀,武宁,上海,fang.com
新湖明珠城商住楼,商业,普陀,武宁,上海,fang.com
中环大厦写字楼,写字楼,普陀,武宁,上海,fang.com
中岚大楼写字楼,写字楼,普陀,武宁,上海,fang.com
中瑞商务大厦,商业,普陀,武宁,上海,fang.com
中联大厦商住楼,商业,普陀,武宁,上海,fang.com
靓巢公寓,商业,普陀,武宁,上海,fang.com
上海开蓝酒店式公寓,商业,普陀,武宁,上海,fang.com
长富大厦公寓商住楼,商业,普陀,甘泉,上海,fang.com
一晟公寓,商业,普陀,甘泉,上海,fang.com
真情公寓商住楼,商业,普陀,真光,上海,fang.com
高尚领域商住楼,商业,普陀,真如,上海,fang.com
迷你公馆,商业,普陀,真如,上海,fang.com
天汇广场酒店式公寓,商业,普陀,真如,上海,fang.com
天赐苑商住楼,商业,普陀,真如,上海,fang.com
天汇广场商住楼,商业,普陀,真如,上海,fang.com
星光域商住楼,商业,普陀,真如,上海,fang.com
阳光西班牙商住楼,商业,普陀,真如,上海,fang.com
源达国际商住楼,商业,普陀,长寿路,上海,fang.com
华生大厦,商业,普陀,长寿路,上海,fang.com
常德大厦商住楼,商业,普陀,长寿路,上海,fang.com
飞雕商务大厦商住楼,商业,普陀,长寿路,上海,fang.com
沙田大厦公寓,商业,普陀,长寿路,上海,fang.com
星海大厦,商业,普陀,长寿路,上海,fang.com
澳门大厦,商业,普陀,长寿路,上海,fang.com
富丽大厦商住楼,商业,普陀,长寿路,上海,fang.com
玉城大厦,商业,普陀,长寿路,上海,fang.com
宝都大厦公寓,商业,普陀,长寿路,上海,fang.com
长寿苑商住楼,商业,普陀,长寿路,上海,fang.com
长久大厦公寓,商业,普陀,长寿路,上海,fang.com
CITY155商住楼,商业,普陀,长寿路,上海,fang.com
德诚大厦办公楼,商业,普陀,长寿路,上海,fang.com
芳华公寓商住楼,商业,普陀,长寿路,上海,fang.com
工行大楼,商业,普陀,长寿路,上海,fang.com
工商银行大楼,商业,普陀,长寿路,上海,fang.com
湖南大厦商住楼,商业,普陀,长寿路,上海,fang.com
河滨围城商住楼,商业,普陀,长寿路,上海,fang.com
荣联公寓写字楼,写字楼,普陀,长寿路,上海,fang.com
上青佳园写字楼,写字楼,普陀,长寿路,上海,fang.com
莘远大厦,商业,普陀,长寿路,上海,fang.com
圣天地商务楼商住楼,商业,普陀,长寿路,上海,fang.com
新天大厦,商业,普陀,长寿路,上海,fang.com
悦达国际大厦商住楼,商业,普陀,长寿路,上海,fang.com
博硕楼,商业,普陀,长寿路,上海,fang.com
金沙商务广场商住楼,商业,普陀,长征,上海,fang.com
地中海之恋商住楼,商业,普陀,长征,上海,fang.com
同普大厦,商业,普陀,长征,上海,fang.com
香樟荟商住楼,商业,普陀,长征,上海,fang.com
建华大厦,商业,普陀,长风,上海,fang.com
长风大楼,商业,普陀,长风,上海,fang.com
汇银铭尊一期汇银河滨一号,商业,普陀,长风,上海,fang.com
朗诗藏峰商住楼,商业,普陀,长风,上海,fang.com
申汉大厦商住楼,商业,普陀,长风,上海,fang.com
苏宁天御国际广场商住楼,商业,普陀,长风,上海,fang.com
艺尚铂丽公馆,商业,普陀,长风,上海,fang.com
中天SOHO,商业,普陀,长风,上海,fang.com
中建壹品·华忻坊,商业,杨浦,东外滩,上海,fang.com
海桐精品酒店公寓,商业,杨浦,东外滩,上海,fang.com
133世界广场,商业,杨浦,中原,上海,fang.com
财富商业广场写字楼,写字楼,杨浦,中原,上海,fang.com
莱茵半岛商住楼,商业,杨浦,中原,上海,fang.com
翔鹰大楼,商业,杨浦,中原,上海,fang.com
翔殷科技大厦,商业,杨浦,中原,上海,fang.com
和美佳公寓,商业,杨浦,中原,上海,fang.com
财富国际广场,商业,杨浦,五角场,上海,fang.com
创智坊商住楼,商业,杨浦,五角场,上海,fang.com
东方家园商住楼,商业,杨浦,五角场,上海,fang.com
华宏大厦,商业,杨浦,五角场,上海,fang.com
无锡大厦写字楼,写字楼,杨浦,五角场,上海,fang.com
杨浦大楼,商业,杨浦,五角场,上海,fang.com
中环国际大厦,商业,杨浦,五角场,上海,fang.com
中环国际,商业,杨浦,五角场,上海,fang.com
中通公寓商住楼,商业,杨浦,五角场,上海,fang.com
城家公寓(五角场店),商业,杨浦,五角场,上海,fang.com
复华商业精品公寓,商业,杨浦,五角场,上海,fang.com
武东路311号,商业,杨浦,五角场,上海,fang.com
学缘公寓五角场店,商业,杨浦,五角场,上海,fang.com
龙泽大厦,商业,杨浦,周家嘴路,上海,fang.com
郡江国际大厦商住楼,商业,杨浦,周家嘴路,上海,fang.com
国威大厦商住楼,商业,杨浦,周家嘴路,上海,fang.com
克拉玛依大厦写字楼,写字楼,杨浦,周家嘴路,上海,fang.com
联升大厦商住楼,商业,杨浦,周家嘴路,上海,fang.com
魔方公寓内江店,商业,杨浦,周家嘴路,上海,fang.com
尚发大厦商住楼,商业,杨浦,周家嘴路,上海,fang.com
中通大厦,商业,杨浦,周家嘴路,上海,fang.com
复旦软件园智慧新天地公寓,商业,杨浦,周家嘴路,上海,fang.com
魔方公寓宁国路店,商业,杨浦,周家嘴路,上海,fang.com
魔方公寓内江路店,商业,杨浦,周家嘴路,上海,fang.com
天霞宾馆,商业,杨浦,周家嘴路,上海,fang.com
聚航公寓,商业,杨浦,控江路,上海,fang.com
易佰连锁酒店,商业,杨浦,控江路,上海,fang.com
三湘未来海岸商住楼,商业,杨浦,新江湾城,上海,fang.com
江湾68公馆,商业,杨浦,新江湾城,上海,fang.com
仁恒怡庭公寓商住楼,商业,杨浦,新江湾城,上海,fang.com
三湘未来海岸写字楼,写字楼,杨浦,新江湾城,上海,fang.com
爱家公寓五角场店,商业,杨浦,新江湾城,上海,fang.com
彩虹小居,商业,杨浦,新江湾城,上海,fang.com
东方星座,商业,杨浦,鞍山,上海,fang.com
凤凰大楼写字楼,写字楼,杨浦,鞍山,上海,fang.com
凤凰大楼,商业,杨浦,鞍山,上海,fang.com
贵人大厦,商业,杨浦,鞍山,上海,fang.com
哈佛公寓商住楼,商业,杨浦,鞍山,上海,fang.com
和平花苑二期商住楼,商业,杨浦,鞍山,上海,fang.com
莱克大厦,商业,杨浦,鞍山,上海,fang.com
申安公寓商住楼,商业,杨浦,鞍山,上海,fang.com
旭辉海上国际,商业,杨浦,鞍山,上海,fang.com
蓝海·城市家,商业,杨浦,黄兴公园,上海,fang.com
华美达大酒店,商业,杨浦,黄兴公园,上海,fang.com
白玉兰环保广场商住楼,商业,杨浦,黄兴公园,上海,fang.com
法朵公寓,商业,杨浦,黄兴公园,上海,fang.com
海尚杰座,商业,杨浦,黄兴公园,上海,fang.com
翔顺公寓商住楼,商业,杨浦,黄兴公园,上海,fang.com
营口大厦商住楼,商业,杨浦,黄兴公园,上海,fang.com
蓝海城市家公寓,商业,杨浦,黄兴公园,上海,fang.com
九亭中心商住楼,商业,松江,九亭,上海,fang.com
九亭U天地商住楼,商业,松江,九亭,上海,fang.com
绿景世都商住楼,商业,松江,九亭,上海,fang.com
朗庭上郡苑商住楼,商业,松江,九亭,上海,fang.com
乐家人才公寓,商业,松江,九亭,上海,fang.com
上海九久青年城二期,商业,松江,九亭,上海,fang.com
秀森大厦,商业,松江,九亭,上海,fang.com
象屿品城商住楼,商业,松江,九亭,上海,fang.com
紫金花园商住楼,商业,松江,九亭,上海,fang.com
驰久公寓,商业,松江,九亭,上海,fang.com
九亭大街酒店式公寓,商业,松江,九亭,上海,fang.com
锦江之星酒店式公寓,商业,松江,九亭,上海,fang.com
久富大厦,商业,松江,九亭,上海,fang.com
瑞松公寓,商业,松江,九亭,上海,fang.com
索纳特酒店公寓,商业,松江,九亭,上海,fang.com
上宁公寓,商业,松江,九亭,上海,fang.com
佘山高尔夫郡商住楼,商业,松江,佘山,上海,fang.com
佘山新天地休闲广场写字楼,写字楼,松江,佘山,上海,fang.com
中电信息港,商业,松江,佘山,上海,fang.com
佘山新天地酒店式公寓,商业,松江,佘山,上海,fang.com
东渡时代,商业,松江,新桥,上海,fang.com
弘公馆,商业,松江,新桥,上海,fang.com
华泽新苑商住楼,商业,松江,新桥,上海,fang.com
龙麒苑,商业,松江,新桥,上海,fang.com
万宇荣盛阳光苑商住楼,商业,松江,新桥,上海,fang.com
三迪曼哈顿商住楼,商业,松江,松江大学城,上海,fang.com
中展瑞景商住楼,商业,松江,松江大学城,上海,fang.com
嘉立国际广场,商业,松江,松江大学城,上海,fang.com
松江万达广场写字楼,写字楼,松江,松江大学城,上海,fang.com
保利西子湾商住楼,商业,松江,松江大学城,上海,fang.com
大学城松云水苑商住楼,商业,松江,松江大学城,上海,fang.com
马利来名人府,商业,松江,松江大学城,上海,fang.com
山水景苑商住楼,商业,松江,松江大学城,上海,fang.com
上林苑二期商住楼,商业,松江,松江大学城,上海,fang.com
三湘四季花城三期商住楼,商业,松江,松江大学城,上海,fang.com
三湘四季花城牡丹苑商住楼,商业,松江,松江大学城,上海,fang.com
三迪曼哈顿二期,商业,松江,松江大学城,上海,fang.com
万科梦想派商住楼,商业,松江,松江大学城,上海,fang.com
西外公馆,商业,松江,松江大学城,上海,fang.com
中展爱情海,商业,松江,松江大学城,上海,fang.com
龙湖新壹城公寓,商业,松江,松江新城,上海,fang.com
恒都广场公寓商住楼,商业,松江,松江新城,上海,fang.com
开元地中海,商业,松江,松江新城,上海,fang.com
东鼎名人府邸(松江)商住楼,商业,松江,松江新城,上海,fang.com
国乐广场,商业,松江,松江新城,上海,fang.com
湖畔尚品写字楼,写字楼,松江,松江新城,上海,fang.com
皇骐爱丽舍商住楼,商业,松江,松江新城,上海,fang.com
嘉和写字楼,写字楼,松江,松江新城,上海,fang.com
文翔公寓,商业,松江,松江新城,上海,fang.com
文荟峰景商住楼,商业,松江,松江新城,上海,fang.com
智慧U谷,商业,松江,松江新城,上海,fang.com
紫东新苑商住楼,商业,松江,松江新城,上海,fang.com
昊韬公寓,商业,松江,松江新城,上海,fang.com
港湾新城商住楼,商业,松江,松江老城,上海,fang.com
金海岸休闲广场,商业,松江,松江老城,上海,fang.com
龙潭苑南商住楼,商业,松江,松江老城,上海,fang.com
品尚雅阁,商业,松江,松江老城,上海,fang.com
浦南公寓,商业,松江,松江老城,上海,fang.com
申喜小区,商业,松江,松江老城,上海,fang.com
万科红人馆,商业,松江,松江老城,上海,fang.com
耀江花苑商住楼,商业,松江,松江老城,上海,fang.com
创湾白领公寓,商业,松江,松江老城,上海,fang.com
联诚公寓,住宅,松江,松江老城,上海,fang.com
松东路191号,商业,松江,松江老城,上海,fang.com
兆记公寓,商业,松江,松江老城,上海,fang.com
新浜领寓,商业,松江,枫泾,上海,fang.com
九洲星耀福邸,商业,松江,泗泾,上海,fang.com
凤君大厦商住楼,商业,松江,泗泾,上海,fang.com
华润佘山九里二期商住楼,商业,松江,泗泾,上海,fang.com
晶尚坊,商业,松江,泗泾,上海,fang.com
九洲世贸,商业,松江,泗泾,上海,fang.com
金地自在城二期商住楼,商业,松江,泗泾,上海,fang.com
米兰诺贵都商住楼,商业,松江,泗泾,上海,fang.com
欧洲城,商业,松江,泗泾,上海,fang.com
三湘商业广场写字楼,写字楼,松江,泗泾,上海,fang.com
