小区名称,类型,区域(行政区),商圈板块,城市,数据来源
嘉宝梦之星,住宅,嘉定,嘉定新城,上海,fang.com
金沙湾绿地和苑,住宅,嘉定,嘉定新城,上海,fang.com
旭辉华庭,住宅,嘉定,嘉定新城,上海,fang.com
合景领峰,住宅,嘉定,嘉定新城,上海,fang.com
新城香溢澜庭,住宅,嘉定,嘉定新城,上海,fang.com
东方豪园,住宅,嘉定,嘉定新城,上海,fang.com
远香舫庭苑,住宅,嘉定,嘉定新城,上海,fang.com
上实海上荟,住宅,嘉定,嘉定新城,上海,fang.com
外冈新苑,住宅,嘉定,外冈,上海,fang.com
西上海御庭,住宅,嘉定,安亭,上海,fang.com
博泰景苑,住宅,嘉定,安亭,上海,fang.com
大学里,住宅,嘉定,安亭,上海,fang.com
润渡佳苑,住宅,嘉定,安亭,上海,fang.com
绿地海域苏河源,住宅,嘉定,安亭,上海,fang.com
安亭瑞仕锦庭,住宅,嘉定,安亭,上海,fang.com
恒大名都,住宅,嘉定,安亭,上海,fang.com
莱英北郡,住宅,嘉定,安亭,上海,fang.com
安亭新镇波恩风情,住宅,嘉定,安亭,上海,fang.com
沁富佳苑,住宅,嘉定,安亭,上海,fang.com
路劲上海派,住宅,嘉定,安亭,上海,fang.com
旭辉·公元,住宅,嘉定,安亭,上海,fang.com
安亭新镇宾根花园,住宅,嘉定,安亭,上海,fang.com
安亭新苑,住宅,嘉定,安亭,上海,fang.com
大众春盛苑,住宅,嘉定,安亭,上海,fang.com
古北萃庭,住宅,嘉定,安亭,上海,fang.com
佳兆业城市广场,住宅,嘉定,徐行,上海,fang.com
绿地新江桥城,住宅,嘉定,江桥,上海,fang.com
金鹤新城双佳翠庭,住宅,嘉定,江桥,上海,fang.com
金鹤新城水岸金桥苑,住宅,嘉定,江桥,上海,fang.com
金鹤新城澜茵华庭,住宅,嘉定,江桥,上海,fang.com
金鹤新城缘圆宝邸,住宅,嘉定,江桥,上海,fang.com
金鹤新城中房公寓,住宅,嘉定,江桥,上海,fang.com
嘉海雅苑,住宅,嘉定,江桥,上海,fang.com
中虹华苑,住宅,嘉定,江桥,上海,fang.com
金沙鼎苑,住宅,嘉定,江桥,上海,fang.com
大宅风范城,住宅,嘉定,江桥,上海,fang.com
金鹤新城水岸秀苑,住宅,嘉定,江桥,上海,fang.com
富友嘉园,住宅,嘉定,江桥,上海,fang.com
金鹤新城金霞苑,住宅,嘉定,江桥,上海,fang.com
天禧嘉苑,住宅,嘉定,江桥,上海,fang.com
嘉城新航域,住宅,嘉定,江桥,上海,fang.com
金鹤新城城杰苑,住宅,嘉定,江桥,上海,fang.com
爱德佳苑,住宅,嘉定,江桥,上海,fang.com
金帝城市岸泊,住宅,嘉定,江桥,上海,fang.com
中星海兰苑,住宅,嘉定,江桥,上海,fang.com
保利云上,住宅,嘉定,江桥,上海,fang.com
万达城市公寓,住宅,嘉定,江桥,上海,fang.com
爱德佳苑三街坊,住宅,嘉定,江桥,上海,fang.com
龙湖天璞雅筑,住宅,嘉定,江桥,上海,fang.com
嘉城,住宅,嘉定,江桥,上海,fang.com
金鹤新城泰宸复兴苑,住宅,嘉定,江桥,上海,fang.com
金鹤新城泰宸沙河茗苑,住宅,嘉定,江桥,上海,fang.com
嘉城雅颂湾,住宅,嘉定,江桥,上海,fang.com
华江景城,住宅,嘉定,江桥,上海,fang.com
嘉怡坊,住宅,嘉定,江桥,上海,fang.com
曹江公寓,住宅,嘉定,江桥,上海,fang.com
香馥湾,住宅,嘉定,江桥,上海,fang.com
华江一村,住宅,嘉定,江桥,上海,fang.com
中星海上名豪苑四期御菁园,住宅,嘉定,江桥,上海,fang.com
恒嘉花园,住宅,嘉定,江桥,上海,fang.com
丽江佳苑,住宅,嘉定,江桥,上海,fang.com
宁兴上尚湾,住宅,嘉定,江桥,上海,fang.com
天际蓝桥,住宅,嘉定,江桥,上海,fang.com
翠堤尚郡,住宅,嘉定,江桥,上海,fang.com
汇丰沁苑,住宅,嘉定,江桥,上海,fang.com
爱德佳苑五街坊,住宅,嘉定,江桥,上海,fang.com
锦华茗园,住宅,嘉定,江桥,上海,fang.com
江桥佳苑,住宅,嘉定,江桥,上海,fang.com
嘉城爱琴海,住宅,嘉定,江桥,上海,fang.com
嘉旺苑,住宅,嘉定,江桥,上海,fang.com
嘉城幸福港,住宅,嘉定,江桥,上海,fang.com
江桥二村三街坊,住宅,嘉定,江桥,上海,fang.com
保利云上|澄光,住宅,嘉定,江桥,上海,fang.com
盐湖新居,住宅,嘉定,江桥,上海,fang.com
汇丰沁苑二期,住宅,嘉定,江桥,上海,fang.com
江桥一村,住宅,嘉定,江桥,上海,fang.com
江桥二村五街坊,住宅,嘉定,江桥,上海,fang.com
江桥二村二街坊,住宅,嘉定,江桥,上海,fang.com
高潮新苑,住宅,嘉定,江桥,上海,fang.com
中星海上名豪苑(60弄),住宅,嘉定,江桥,上海,fang.com
江桥二村四街坊,住宅,嘉定,江桥,上海,fang.com
申江花苑,住宅,嘉定,江桥,上海,fang.com
江桥三村九街坊,住宅,嘉定,江桥,上海,fang.com
家旺景苑,住宅,嘉定,江桥,上海,fang.com
水岸丽苑,住宅,嘉定,江桥,上海,fang.com
金隅大成郡,住宅,嘉定,菊园新区,上海,fang.com
路劲·悦茂府,住宅,嘉定,菊园新区,上海,fang.com
绿地天呈,住宅,嘉定,菊园新区,上海,fang.com
保利海上五月花,住宅,嘉定,菊园新区,上海,fang.com
日月光伯爵天地,住宅,嘉定,菊园新区,上海,fang.com
柳湖景庭,住宅,嘉定,菊园新区,上海,fang.com
合景叠翠峰,住宅,嘉定,菊园新区,上海,fang.com
嘉华居,住宅,嘉定,菊园新区,上海,fang.com
万科金色领域,住宅,嘉定,菊园新区,上海,fang.com
新城枫景,住宅,嘉定,菊园新区,上海,fang.com
嘉宝梦之湾,住宅,嘉定,菊园新区,上海,fang.com
练祁佳城星怡苑,住宅,嘉定,菊园新区,上海,fang.com
沧海绿苑,住宅,嘉定,马陆,上海,fang.com
绿地南桥新苑,住宅,奉贤,南桥,上海,fang.com
正阳世纪星城,住宅,奉贤,南桥,上海,fang.com
正阳世纪星城文华苑,住宅,奉贤,南桥,上海,fang.com
江海新村,住宅,奉贤,南桥,上海,fang.com
九华苑,住宅,奉贤,南桥,上海,fang.com
金辉天鹅湾,住宅,奉贤,南桥,上海,fang.com
悦晟新苑,住宅,奉贤,南桥,上海,fang.com
江海花园,住宅,奉贤,南桥,上海,fang.com
万科南桥传奇,住宅,奉贤,南桥,上海,fang.com
西民旺苑,住宅,奉贤,南桥,上海,fang.com
奉浦苑,住宅,奉贤,南桥,上海,fang.com
育秀九区,住宅,奉贤,南桥,上海,fang.com
贝港花苑,住宅,奉贤,南桥,上海,fang.com
阳光园二期,住宅,奉贤,南桥,上海,fang.com
顺寓国际社区,住宅,奉贤,南桥,上海,fang.com
悦丰新苑,住宅,奉贤,南桥,上海,fang.com
国欣颐养|中澳城,住宅,奉贤,南桥,上海,fang.com
育秀三区,住宅,奉贤,南桥,上海,fang.com
阳光春城,住宅,奉贤,南桥,上海,fang.com
古华A区,住宅,奉贤,南桥,上海,fang.com
秀枫苑,住宅,奉贤,南桥,上海,fang.com
浦南园,住宅,奉贤,南桥,上海,fang.com
贝港八区,住宅,奉贤,南桥,上海,fang.com
百合苑,住宅,奉贤,南桥,上海,fang.com
育秀五区,住宅,奉贤,南桥,上海,fang.com
正阳铂璟湾,住宅,奉贤,南桥,上海,fang.com
贝港一区,住宅,奉贤,南桥,上海,fang.com
曙光新苑,住宅,奉贤,南桥,上海,fang.com
育秀七区,住宅,奉贤,南桥,上海,fang.com
正阳世纪星城行知苑,住宅,奉贤,南桥,上海,fang.com
古华新村,住宅,奉贤,南桥,上海,fang.com
华龙公寓,住宅,奉贤,南桥,上海,fang.com
九华丽苑,住宅,奉贤,南桥,上海,fang.com
万龙新村,住宅,奉贤,南桥,上海,fang.com
阳光四季园,住宅,奉贤,南桥,上海,fang.com
众旺苑北区,住宅,奉贤,南桥,上海,fang.com
聚贤煌都,住宅,奉贤,南桥,上海,fang.com
蓝天苑,住宅,奉贤,南桥,上海,fang.com
铭邦华府,住宅,奉贤,南桥,上海,fang.com
树园新里,住宅,奉贤,南桥,上海,fang.com
贝港七区,住宅,奉贤,南桥,上海,fang.com
江海二村,住宅,奉贤,南桥,上海,fang.com
秋月朗庭,住宅,奉贤,南桥,上海,fang.com
同盛南桥花园,住宅,奉贤,南桥,上海,fang.com
育秀六区,住宅,奉贤,南桥,上海,fang.com
奉浦二村,住宅,奉贤,南桥,上海,fang.com
恒龙尚品嘉苑,住宅,奉贤,南桥,上海,fang.com
景河苑,住宅,奉贤,南桥,上海,fang.com
九华新园,住宅,奉贤,南桥,上海,fang.com
解放新村,住宅,奉贤,南桥,上海,fang.com
育秀二区,住宅,奉贤,南桥,上海,fang.com
育秀十一区,住宅,奉贤,南桥,上海,fang.com
育秀一区,住宅,奉贤,南桥,上海,fang.com
弘泽欣园,住宅,奉贤,南桥,上海,fang.com
绿地观邸,住宅,奉贤,南桥,上海,fang.com
曙光新区,住宅,奉贤,南桥,上海,fang.com
招商南桥1号,住宅,奉贤,南桥,上海,fang.com
贝港南区,住宅,奉贤,南桥,上海,fang.com
良友新村,住宅,奉贤,南桥,上海,fang.com
普康苑,住宅,奉贤,南桥,上海,fang.com
新民旺苑,住宅,奉贤,南桥,上海,fang.com
贝港第二居民区(南区),住宅,奉贤,南桥,上海,fang.com
奉苑新村,住宅,奉贤,南桥,上海,fang.com
树园新村,住宅,奉贤,南桥,上海,fang.com
新发展公寓,住宅,奉贤,南桥,上海,fang.com
阳光园四期,住宅,奉贤,南桥,上海,fang.com
正阳TOP,住宅,奉贤,南桥,上海,fang.com
奉发·左岸晶邸,住宅,奉贤,南桥,上海,fang.com
绅鸿苑,住宅,奉贤,南桥,上海,fang.com
新建西路公房,住宅,奉贤,南桥,上海,fang.com
育秀八区,住宅,奉贤,南桥,上海,fang.com
贝港三区,住宅,奉贤,南桥,上海,fang.com
古华B区,住宅,奉贤,南桥,上海,fang.com
中建公元壹号,住宅,奉贤,奉城,上海,fang.com
新城花屿湾,住宅,奉贤,奉城,上海,fang.com
绿地小米公社,住宅,奉贤,奉城,上海,fang.com
奉馨园,住宅,奉贤,奉城,上海,fang.com
奉德苑,住宅,奉贤,奉城,上海,fang.com
佳源名人公馆,住宅,奉贤,奉城,上海,fang.com
康碧苑,住宅,奉贤,奉城,上海,fang.com
中海戈雅园,住宅,奉贤,奉城,上海,fang.com
车站新村南区,住宅,奉贤,奉城,上海,fang.com
大家美颂,住宅,奉贤,奉城,上海,fang.com
锦港佳苑,住宅,奉贤,奉城,上海,fang.com
水榭兰亭,住宅,奉贤,奉城,上海,fang.com
奉发宝龙广场,住宅,奉贤,奉城,上海,fang.com
龙达新苑,住宅,奉贤,奉城,上海,fang.com
悦城华庭,住宅,奉贤,奉城,上海,fang.com
奉铭佳苑,住宅,奉贤,奉城,上海,fang.com
华盛新苑,住宅,奉贤,奉城,上海,fang.com
天和尚上海,住宅,奉贤,奉城,上海,fang.com
奉德苑(东区),住宅,奉贤,奉城,上海,fang.com
申丰新村,住宅,奉贤,奉城,上海,fang.com
曙光新村(奉城),住宅,奉贤,奉城,上海,fang.com
车站新村(奉城),住宅,奉贤,奉城,上海,fang.com
大宅新村,住宅,奉贤,奉城,上海,fang.com
奉城商都,住宅,奉贤,奉城,上海,fang.com
汤臣臻园,住宅,奉贤,奉贤其他,上海,fang.com
恒盛湖畔豪庭,住宅,奉贤,奉贤其他,上海,fang.com
馨雅名筑,住宅,奉贤,奉贤其他,上海,fang.com
恒盛湖畔豪庭东区,住宅,奉贤,奉贤其他,上海,fang.com
银河丽湾,住宅,奉贤,奉贤其他,上海,fang.com
中粮南桥半岛,住宅,奉贤,奉贤其他,上海,fang.com
金海苑北区,住宅,奉贤,奉贤其他,上海,fang.com
馨雅名庭(西区),住宅,奉贤,奉贤其他,上海,fang.com
金昊雅苑,住宅,奉贤,奉贤其他,上海,fang.com
阳光星期8,住宅,奉贤,奉贤其他,上海,fang.com
金海壹品,住宅,奉贤,奉贤其他,上海,fang.com
绿地无双,住宅,奉贤,奉贤其他,上海,fang.com
合景万景峰,住宅,奉贤,奉贤其他,上海,fang.com
苏宁荣悦,住宅,奉贤,奉贤其他,上海,fang.com
庙泾新村,住宅,奉贤,奉贤其他,上海,fang.com
龙湖天曜,住宅,奉贤,奉贤其他,上海,fang.com
望园豪庭,住宅,奉贤,奉贤其他,上海,fang.com
金昊丽苑,住宅,奉贤,奉贤其他,上海,fang.com
中粮南桥锦云,住宅,奉贤,奉贤其他,上海,fang.com
保利明玥宸光,住宅,奉贤,奉贤其他,上海,fang.com
金海苑南区,住宅,奉贤,奉贤其他,上海,fang.com
绿地领御,住宅,奉贤,奉贤其他,上海,fang.com
馨雅名庭(东区),住宅,奉贤,奉贤其他,上海,fang.com
保利象屿公园悦府,住宅,奉贤,奉贤其他,上海,fang.com
上江南·璟荟名庭,住宅,奉贤,奉贤其他,上海,fang.com
卓越世纪中心公寓,住宅,奉贤,奉贤其他,上海,fang.com
恒盛湖畔豪庭西区,住宅,奉贤,奉贤其他,上海,fang.com
金水苑,住宅,奉贤,奉贤其他,上海,fang.com
桐南美麓,住宅,奉贤,奉贤其他,上海,fang.com
奉发云境,住宅,奉贤,庄行,上海,fang.com
丽水湾,住宅,奉贤,庄行,上海,fang.com
大名城·映雨江南,住宅,奉贤,庄行,上海,fang.com
海韵馨苑,住宅,奉贤,柘林,上海,fang.com
绿地铂晶舍,住宅,奉贤,柘林,上海,fang.com
绿地香颂公寓(奉贤),住宅,奉贤,柘林,上海,fang.com
凤凰城天境,住宅,奉贤,海湾,上海,fang.com
绿城上海诚园,住宅,奉贤,海湾,上海,fang.com
凤凰城天悦,住宅,奉贤,海湾,上海,fang.com
瑞和上海印象,住宅,奉贤,海湾,上海,fang.com
保利玲玥公馆,住宅,奉贤,海湾,上海,fang.com
凤鸣海尚,住宅,奉贤,海湾,上海,fang.com
紫苑小区,住宅,奉贤,海湾,上海,fang.com
诚园正信苑,住宅,奉贤,海湾,上海,fang.com
诚园明礼苑,住宅,奉贤,海湾,上海,fang.com
电建地产·泷悦景轩,住宅,奉贤,海湾,上海,fang.com
大名城映园,住宅,奉贤,海湾,上海,fang.com
红庄新苑奉贤,住宅,奉贤,海湾,上海,fang.com
燎原农场,住宅,奉贤,海湾,上海,fang.com
明城玫瑰园,住宅,奉贤,海湾,上海,fang.com
电建地产·泷悦蓝湾,住宅,奉贤,海湾,上海,fang.com
酩悦都会,住宅,奉贤,海湾旅游区,上海,fang.com
萧塘尚乐苑,住宅,奉贤,西渡,上海,fang.com
华润置地幸福里,住宅,奉贤,西渡,上海,fang.com
新南家园,住宅,奉贤,西渡,上海,fang.com
乐康苑,住宅,奉贤,西渡,上海,fang.com
萧塘尚美苑,住宅,奉贤,西渡,上海,fang.com
中国铁建香榭国际,住宅,奉贤,西渡,上海,fang.com
鸿宝一村(南区),住宅,奉贤,西渡,上海,fang.com
阳光城·未来悦,住宅,奉贤,西渡,上海,fang.com
中国铁建·熙语,住宅,奉贤,西渡,上海,fang.com
水岸家苑一期,住宅,奉贤,西渡,上海,fang.com
金都雅苑,住宅,奉贤,西渡,上海,fang.com
南渡新苑,住宅,奉贤,西渡,上海,fang.com
鸿宝二村南区,住宅,奉贤,西渡,上海,fang.com
鸿宝一村(北区),住宅,奉贤,西渡,上海,fang.com
文怡花园,住宅,奉贤,西渡,上海,fang.com
肖塘新村,住宅,奉贤,西渡,上海,fang.com
悦澜天地,住宅,奉贤,西渡,上海,fang.com
希都公寓,住宅,奉贤,西渡,上海,fang.com
康发小区,住宅,奉贤,西渡,上海,fang.com
浦江花园(奉贤),住宅,奉贤,西渡,上海,fang.com
闸园新村,住宅,奉贤,西渡,上海,fang.com
水帘洞小区,住宅,奉贤,西渡,上海,fang.com
弯弯小区,住宅,奉贤,西渡,上海,fang.com
北虹新村,住宅,奉贤,西渡,上海,fang.com
陈湾小区,住宅,奉贤,西渡,上海,fang.com
大桥公寓,住宅,奉贤,西渡,上海,fang.com
南桥金茂悦,住宅,奉贤,金汇镇,上海,fang.com
金碧汇虹苑,住宅,奉贤,金汇镇,上海,fang.com
万科金域华府,住宅,奉贤,金汇镇,上海,fang.com
敬贤雅苑,住宅,奉贤,金汇镇,上海,fang.com
南行达苑,住宅,奉贤,金汇镇,上海,fang.com
南行旺苑,住宅,奉贤,金汇镇,上海,fang.com
天和前滩时代,住宅,奉贤,金汇镇,上海,fang.com
朗诗未来街区,住宅,奉贤,金汇镇,上海,fang.com
南行贤苑,住宅,奉贤,金汇镇,上海,fang.com
上海龙湖春江天玺,住宅,奉贤,金汇镇,上海,fang.com
象屿滨江悦府,住宅,奉贤,金汇镇,上海,fang.com
沿港河畔家园,住宅,奉贤,金汇镇,上海,fang.com
齐贤雅苑,住宅,奉贤,金汇镇,上海,fang.com
百曲乐苑,住宅,奉贤,金汇镇,上海,fang.com
灏景湾,住宅,奉贤,金汇镇,上海,fang.com
金碧苑(奉贤),住宅,奉贤,金汇镇,上海,fang.com
南行兴苑,住宅,奉贤,金汇镇,上海,fang.com
禹洲天境璞悦,住宅,奉贤,金汇镇,上海,fang.com
张弄富苑,住宅,奉贤,金汇镇,上海,fang.com
百曲雅苑,住宅,奉贤,金汇镇,上海,fang.com
白沙西苑,住宅,奉贤,金汇镇,上海,fang.com
东原郦湾,住宅,奉贤,金汇镇,上海,fang.com
宝华帝华园,住宅,奉贤,青村,上海,fang.com
青村小镇一期,住宅,奉贤,青村,上海,fang.com
北港和景苑,住宅,奉贤,青村,上海,fang.com
东方华璟园,住宅,奉贤,青村,上海,fang.com
滨江公园壹号,住宅,宝山,上大,上海,fang.com
锦秋花园,住宅,宝山,上大,上海,fang.com
保利叶之林,住宅,宝山,上大,上海,fang.com
大华锦上城,住宅,宝山,上大,上海,fang.com
经纬城市绿洲二期,住宅,宝山,上大,上海,fang.com
经纬城市绿洲一期,住宅,宝山,上大,上海,fang.com
经纬城市绿洲六期,住宅,宝山,上大,上海,fang.com
保利熙悦,住宅,宝山,上大,上海,fang.com
宝祁雅苑,住宅,宝山,上大,上海,fang.com
经纬·至臻豪庭,住宅,宝山,上大,上海,fang.com
当代高邸,住宅,宝山,上大,上海,fang.com
汇枫景苑,住宅,宝山,上大,上海,fang.com
经纬城市绿洲三期,住宅,宝山,上大,上海,fang.com
远东君悦庭,住宅,宝山,上大,上海,fang.com
经纬城市绿洲四期,住宅,宝山,上大,上海,fang.com
学林苑,住宅,宝山,上大,上海,fang.com
大华朗香公园里,住宅,宝山,上大,上海,fang.com
丰宝苑,住宅,宝山,上大,上海,fang.com
经纬城市绿洲五期,住宅,宝山,上大,上海,fang.com
共富一村,住宅,宝山,共富,上海,fang.com
共富二村,住宅,宝山,共富,上海,fang.com
宝宸怡景园,住宅,宝山,共康,上海,fang.com
共康五村,住宅,宝山,共康,上海,fang.com
共康六村,住宅,宝山,共康,上海,fang.com
屹立家园,住宅,宝山,共康,上海,fang.com
共康八村,住宅,宝山,共康,上海,fang.com
宝宸共和家园,住宅,宝山,共康,上海,fang.com
共康七村,住宅,宝山,共康,上海,fang.com
和欣国际花园,住宅,宝山,共康,上海,fang.com
宝业馨康苑,住宅,宝山,共康,上海,fang.com
共和新苑,住宅,宝山,共康,上海,fang.com
九英里,住宅,宝山,共康,上海,fang.com
共康雅苑二期,住宅,宝山,共康,上海,fang.com
中环国际公寓二期,住宅,宝山,共康,上海,fang.com
中环国际公寓一期,住宅,宝山,共康,上海,fang.com
共康公寓,住宅,宝山,共康,上海,fang.com
大华铂金华府,住宅,宝山,大华,上海,fang.com
大华水岸蓝桥,住宅,宝山,大华,上海,fang.com
怡华苑,住宅,宝山,大华,上海,fang.com
枫庭丽苑,住宅,宝山,大华,上海,fang.com
馨华苑,住宅,宝山,大华,上海,fang.com
大华一村,住宅,宝山,大华,上海,fang.com
南华苑,住宅,宝山,大华,上海,fang.com
大华二村,住宅,宝山,大华,上海,fang.com
大华公园世家康华苑三期,住宅,宝山,大华,上海,fang.com
久华佳苑,住宅,宝山,大华,上海,fang.com
滨江雅苑,住宅,宝山,大华,上海,fang.com
大华碧云天,住宅,宝山,大场镇,上海,fang.com
中环一号,住宅,宝山,大场镇,上海,fang.com
招商中环华府,住宅,宝山,大场镇,上海,fang.com
南秀雅苑,住宅,宝山,大场镇,上海,fang.com
君邑地中海,住宅,宝山,大场镇,上海,fang.com
呼玛三村,住宅,宝山,张庙,上海,fang.com
通河一村,住宅,宝山,张庙,上海,fang.com
呼玛二村,住宅,宝山,张庙,上海,fang.com
呼玛一村,住宅,宝山,张庙,上海,fang.com
民悦苑,住宅,宝山,张庙,上海,fang.com
呼玛四村,住宅,宝山,张庙,上海,fang.com
富浩花园,住宅,宝山,张庙,上海,fang.com
宝华北岸郡庭,住宅,宝山,月浦,上海,fang.com
新城昱翠湾,住宅,宝山,月浦,上海,fang.com
中冶尚园,住宅,宝山,月浦,上海,fang.com
宝华盛世花园,住宅,宝山,月浦,上海,fang.com
新月明珠园,住宅,宝山,月浦,上海,fang.com
阳光美林,住宅,宝山,月浦,上海,fang.com
中冶祥腾宝月花园,住宅,宝山,月浦,上海,fang.com
乐业一村,住宅,宝山,月浦,上海,fang.com
庆安苑,住宅,宝山,月浦,上海,fang.com
